sector,rationale,carbon_intensity,energy_mix,resource_waste_intensity,input_efficiency,carbon_price_exposure,transition_affordability,innovation_momentum,structural_disruption,climate_governance,compensation_alignment,board_independence,capital_stewardship,controversy_record
Energy,Emissions ARE the product. Transition risk is existential and the abatement bill is enormous relative to cash flow.,18.0,4.0,4.0,6.0,16.0,14.0,6.0,8.0,10.0,3.0,2.0,6.0,3.0
Utilities,Highest absolute Scope 1 in the index and the clearest capex path out of it. Energy mix is the whole strategy.,18.0,10.0,3.0,4.0,14.0,14.0,6.0,4.0,10.0,3.0,2.0,8.0,4.0
Materials,"Process emissions are hard to abate (cement, steel). Non-carbon burden — toxics, water, tailings — matters as much as carbon.",16.0,4.0,10.0,8.0,13.0,11.0,5.0,4.0,9.0,3.0,2.0,7.0,8.0
Industrials,"Mixed bag — transport and machinery carry real Scope 1, but the bigger story is whether capex is going into the transition.",13.68,3.16,5.26,8.42,10.53,10.53,8.42,6.32,10.53,4.21,2.11,10.53,6.32
Consumer Staples,"Agriculture and packaging dominate; water and waste are as material as carbon. Most of the footprint is Scope 3 we cannot yet see — weight carbon intensity accordingly, not higher.",11.96,3.26,11.96,7.61,8.7,8.7,6.52,5.43,11.96,4.35,2.17,8.7,8.7
Consumer Discretionary,Autos sit here and are a transition story; retail is not. A sector-level weight is a compromise — flag it in the pitch.,10.87,3.26,7.61,7.61,8.7,9.78,9.78,7.61,11.96,4.35,2.17,9.78,6.52
Information Technology,"Scope 1 is rounding error; the footprint is purchased electricity (Scope 2) we do not yet have. Weighting carbon intensity heavily here would reward asset-light accounting, not clean operations.",6.0,9.0,4.0,5.0,4.0,6.0,12.0,8.0,13.0,5.0,3.0,20.0,5.0
Communication Services,"Networks and data centres mean electricity, not smokestacks. Same asset-light caution as IT.",6.0,9.0,3.0,5.0,4.0,6.0,10.0,9.0,13.0,5.0,3.0,18.0,9.0
Health Care,Moderate direct emissions from manufacturing; governance and capital allocation carry more of the signal.,9.0,5.0,8.0,6.0,6.0,7.0,9.0,7.0,12.0,5.0,3.0,15.0,8.0
Financials,"Direct emissions are negligible and financed emissions are Scope 3 we cannot measure. Scoring banks on carbon intensity measures their office footprint, which is not the question. Governance, stewardship and enforcement record carry the weight.",4.0,4.0,2.0,3.0,3.0,4.0,8.0,10.0,18.0,7.0,4.0,20.0,13.0
Real Estate,"Building energy is the footprint, and it is almost entirely Scope 2. Until that lands, weight energy mix and governance rather than a Scope 1 figure that says little.",8.0,12.0,5.0,5.0,6.0,9.0,6.0,7.0,13.0,5.0,3.0,15.0,6.0
